Country,Year,Fossil fuels (TWh),Coal (TWh),Oil (TWh),Gas (TWh),Renewables (TWh),Hydropower (TWh),Solar (TWh),Wind (TWh)
Indonesia,2021,1915.0,763.23,780.86,370.81,240.0,65.0,1.0,1.0
Iran,2021,3308.0,19.57,924.24,2364.65,44.0,39.0,2.0,3.0
Iraq,2021,1570.7,511.6,399.37,168.47,10.0,9.0,1.0,0.0
Ireland,2021,146.0,13.72,81.76,50.96,33.0,2.0,0.0,26.0
Israel,2021,275.0,43.97,114.4,116.59,15.0,0.0,14.0,0.0
Italy,2021,1441.0,65.18,652.07,723.74,320.0,119.0,66.0,55.0
Japan,2021,4241.0,1369.47,1834.93,1036.12,590.0,208.0,242.0,22.0
Kazakhstan,2021,782.0,389.99,175.65,216.17,33.0,24.0,4.0,5.0
Kuwait,2021,416.0,0.75,217.89,197.58,184.7,123.4,1.0,0.0
Latvia,2021,32.0,0.22,19.81,11.59,11.0,7.0,0.0,0.0
Lithuania,2021,61.0,2.16,36.98,22.28,9.0,1.0,0.0,4.0
Luxembourg,2021,39.0,0.49,30.6,7.79,4.0,0.0,0.0,1.0
Malaysia,2021,1169.0,262.45,411.58,494.48,104.0,81.0,7.0,0.0
Mexico,2021,1971.0,55.13,942.95,973.33,218.0,91.0,53.0,55.0
Morocco,2021,248.0,85.42,154.73,7.9,20.0,2.0,5.0,13.0
Netherlands,2021,884.0,65.03,470.25,348.92,121.0,0.0,30.0,47.0
New Zealand,2021,141.0,18.39,83.84,38.74,95.0,63.0,1.0,7.0
North Macedonia,2021,24.0,7.09,12.77,4.11,4.0,4.0,0.0,0.0
Norway,2021,158.0,9.79,105.7,42.16,411.0,375.0,0.0,31.0
Oman,2021,392.0,0.98,110.86,279.67,184.7,123.4,2.0,0.0
Pakistan,2021,933.0,200.76,283.12,448.92,112.0,98.0,2.0,9.0
Peru,2021,219.0,5.98,133.05,80.23,98.0,84.0,2.0,5.0
Philippines,2021,477.0,219.96,225.3,32.08,68.0,24.0,4.0,4.0
Poland,2021,1129.0,529.15,376.24,223.74,97.0,6.0,10.0,42.0
Portugal,2021,178.0,2.27,117.21,58.11,89.0,31.0,6.0,35.0
Qatar,2021,536.0,0.03,135.46,400.15,184.7,123.4,0.0,0.0
Romania,2021,285.0,47.13,122.16,115.69,74.0,46.0,4.0,17.0
Russia,2021,7608.0,951.68,1910.1,4746.14,579.0,561.0,6.0,7.0
Saudi Arabia,2021,2985.0,1.28,1839.47,1144.61,184.7,123.4,2.0,0.0
Singapore,2021,908.0,5.4,768.63,133.52,184.7,123.4,1.0,0.0
Slovakia,2021,135.0,32.7,49.44,52.93,21.0,11.0,2.0,0.0
Slovenia,2021,47.0,10.79,26.93,9.01,16.0,12.0,1.0,0.0
South Africa,2021,1310.0,974.98,289.17,46.14,48.0,5.0,18.0,23.0
South Korea,2021,2967.0,843.54,1499.43,624.07,126.0,8.0,65.0,8.0
Spain,2021,1052.0,35.73,673.23,343.24,349.0,78.0,71.0,162.0
Sri Lanka,2021,1570.7,18.78,64.88,411.3,23.0,19.0,2.0,1.0
Sweden,2021,169.0,19.14,139.18,10.65,328.0,193.0,4.0,71.0
Switzerland,2021,140.0,1.03,103.39,36.04,112.0,96.0,7.0,0.0
Taiwan,2021,1272.0,465.73,533.1,272.9,42.0,9.0,21.0,6.0
Thailand,2021,1291.0,217.27,603.23,470.14,100.0,12.0,13.0,9.0
Trinidad and Tobago,2021,169.0,0.0,13.38,156.03,0.0,0.0,0.0,0.0
Turkey,2021,1616.0,482.32,560.65,573.1,318.0,146.0,36.0,82.0
Turkmenistan,2021,1570.7,511.6,81.81,367.58,0.0,0.0,0.0,0.0
Ukraine,2021,661.0,264.88,123.14,272.57,57.0,27.0,17.0,10.0
United Arab Emirates,2021,1267.0,27.51,531.53,707.63,184.7,123.4,16.0,0.0
United Kingdom,2021,1525.0,65.81,681.39,778.27,359.0,14.0,32.0,169.0
United States,2021,21158.0,2936.89,9863.4,8358.03,2726.0,651.0,435.0,1000.0
Uzbekistan,2021,551.0,25.81,59.83,465.26,13.0,13.0,0.0,0.0
Venezuela,2021,406.0,0.47,124.71,280.59,178.0,178.0,0.0,0.0
Vietnam,2021,933.0,599.07,262.3,71.99,273.0,199.0,67.0,6.0
Algeria,2022,683.0,1.5,238.62,442.75,2.0,0.0,2.0,0.0
Argentina,2022,854.0,14.4,382.78,456.83,128.0,62.0,8.0,37.0
Australia,2022,1421.0,430.76,574.04,416.26,240.0,45.0,101.0,83.0
Austria,2022,242.0,28.29,134.48,79.13,140.0,93.0,8.0,19.0
Azerbaijan,2022,189.0,0.0,68.31,121.01,5.0,4.0,0.0,0.0
Bangladesh,2022,495.0,49.94,152.82,291.98,4.0,2.0,2.0,0.0
Belarus,2022,282.0,10.72,86.81,184.62,3.0,1.0,1.0,0.0
Belgium,2022,499.0,31.99,320.99,145.53,73.0,1.0,18.0,31.0
Brazil,2022,1873.0,162.66,1390.7,319.76,1815.0,1114.0,79.0,213.0
Bulgaria,2022,161.0,72.75,61.56,27.03,29.0,10.0,5.0,4.0
Canada,2022,2509.0,107.23,1185.24,1216.28,1203.0,1039.0,16.0,98.0
Chile,2022,357.0,61.17,221.37,74.6,140.0,58.0,38.0,24.0
China,2022,36138.0,24559.49,7821.52,3757.05,7093.0,3397.0,1115.0,1988.0
Colombia,2022,421.0,28.49,266.99,125.85,188.0,168.0,1.0,0.0
Croatia,2022,69.0,4.78,39.97,24.37,25.0,14.0,0.0,6.0
Cyprus,2022,1570.7,0.38,28.72,411.3,184.7,123.4,2.0,1.0
Czechia,2022,352.0,163.59,114.84,73.76,34.0,5.0,6.0,2.0
Denmark,2022,108.0,12.0,78.89,16.99,82.0,0.0,5.0,50.0
Ecuador,2022,153.0,0.8,146.51,5.5,66.0,64.0,0.0,0.0
Egypt,2022,1043.0,14.27,421.25,607.48,62.0,36.0,13.0,13.0
Estonia,2022,52.0,34.03,14.61,3.62,9.0,0.0,2.0,2.0
Finland,2022,138.0,33.93,93.04,10.83,126.0,36.0,1.0,31.0
France,2022,1252.0,59.46,808.75,383.72,341.0,116.0,52.0,99.0
Germany,2022,2603.0,647.22,1183.12,772.9,726.0,46.0,158.0,327.0
Greece,2022,253.0,20.01,171.01,61.97,63.0,12.0,19.0,28.0
Hong Kong,2022,217.0,41.77,130.57,45.15,1.0,0.0,0.0,0.0
Hungary,2022,202.0,13.81,96.34,91.79,24.0,0.0,12.0,2.0
Iceland,2022,1570.7,0.0,9.83,411.3,52.0,37.0,0.0,0.0
India,2022,8955.0,5581.43,2791.58,581.84,1053.0,456.0,248.0,183.0
Indonesia,2022,2438.0,1216.51,851.2,370.15,277.0,71.0,1.0,1.0
Iran,2022,3336.0,21.14,1025.34,2289.14,25.0,19.0,2.0,3.0
Iraq,2022,1570.7,511.6,442.03,188.67,10.0,9.0,1.0,0.0
Ireland,2022,151.0,11.81,87.69,52.0,38.0,2.0,0.0,30.0
Israel,2022,284.0,43.44,128.11,112.87,20.0,0.0,18.0,0.0
Italy,2022,1423.0,84.77,686.01,652.69,283.0,73.0,72.0,54.0
Japan,2022,4206.0,1365.52,1835.93,1004.98,620.0,195.0,267.0,21.0
Kazakhstan,2022,832.0,398.67,216.3,217.14,35.0,24.0,4.0,7.0
Kuwait,2022,443.0,1.25,223.8,217.86,184.7,123.4,1.0,0.0
Latvia,2022,29.0,0.24,20.65,8.1,11.0,7.0,0.0,1.0
Lithuania,2022,56.0,2.23,37.41,16.07,8.0,1.0,1.0,4.0
Luxembourg,2022,35.0,0.51,28.2,6.12,4.0,0.0,1.0,1.0
Malaysia,2022,1234.0,260.54,479.65,493.82,110.0,85.0,7.0,0.0
Mexico,2022,2180.0,69.79,1143.9,965.86,217.0,93.0,50.0,53.0
Morocco,2022,238.0,77.67,158.23,2.23,19.0,1.0,4.0,14.0
Netherlands,2022,832.0,64.5,495.8,271.47,141.0,0.0,46.0,55.0
New Zealand,2022,133.0,12.72,83.73,36.22,100.0,68.0,1.0,7.0
North Macedonia,2022,25.0,8.32,14.09,2.65,4.0,4.0,0.0,0.0
Norway,2022,149.0,9.34,100.23,39.87,377.0,333.0,1.0,39.0
Oman,2022,411.0,0.98,125.06,285.14,184.7,123.4,4.0,0.0
Pakistan,2022,836.0,177.13,275.14,383.86,109.0,91.0,2.0,12.0
Peru,2022,242.0,8.14,138.07,96.21,92.0,78.0,2.0,5.0
Philippines,2022,512.0,233.03,248.42,30.8,73.0,26.0,5.0,3.0
Poland,2022,1086.0,501.43,405.31,179.3,112.0,5.0,21.0,51.0
Portugal,2022,183.0,0.1,126.91,56.07,75.0,17.0,8.0,35.0
Qatar,2022,522.0,0.11,154.88,366.96,184.7,123.4,1.0,0.0
Romania,2022,268.0,45.84,124.12,97.69,65.0,36.0,5.0,18.0
Russia,2022,6928.0,887.36,1959.7,4080.45,539.0,515.0,6.0,11.0
Saudi Arabia,2022,3191.0,1.28,1986.28,1203.58,184.7,123.4,2.0,0.0
Singapore,2022,874.0,4.81,738.58,130.59,184.7,123.4,2.0,0.0
Slovakia,2022,132.0,29.3,51.02,51.44,20.0,9.0,2.0,0.0
Slovenia,2022,48.0,8.3,31.3,7.94,11.0,8.0,1.0,0.0
South Africa,2022,1262.0,920.32,295.63,45.58,52.0,8.0,16.0,25.0
South Korea,2022,2937.0,798.56,1519.42,619.28,152.0,9.0,70.0,9.0
Spain,2022,1116.0,46.91,737.95,330.97,336.0,48.0,88.0,163.0
Sri Lanka,2022,1570.7,16.96,55.15,411.3,23.0,19.0,3.0,1.0
Sweden,2022,166.0,20.31,138.53,7.36,337.0,182.0,7.0,85.0
Switzerland,2022,137.0,1.03,106.59,29.64,96.0,77.0,10.0,0.0
Taiwan,2022,1211.0,439.28,490.65,280.66,59.0,15.0,28.0,9.0
Thailand,2022,1303.0,197.56,662.67,443.18,103.0,17.0,13.0,9.0
Trinidad and Tobago,2022,164.0,0.0,13.57,150.65,0.0,0.0,0.0,0.0
Turkey,2022,1581.0,484.84,583.71,512.22,367.0,175.0,41.0,92.0
Turkmenistan,2022,1570.7,511.6,83.55,375.36,0.0,0.0,0.0,0.0
Ukraine,2022,444.0,144.07,107.28,192.73,48.0,29.0,13.0,4.0
United Arab Emirates,2022,1334.0,28.54,607.25,698.48,184.7,123.4,18.0,0.0
United Kingdom,2022,1520.0,58.72,741.04,719.8,393.0,14.0,36.0,209.0
United States,2022,21595.0,2741.22,10041.68,8812.12,3015.0,674.0,538.0,1145.0
Uzbekistan,2022,572.0,28.68,60.05,483.18,14.0,14.0,0.0,0.0
Venezuela,2022,440.0,0.42,147.72,291.78,174.0,174.0,0.0,0.0
Vietnam,2022,934.0,569.25,286.49,77.97,341.0,250.0,69.0,21.0
