Country,Year,Fossil fuels,Gas,Coal,Oil,Solar,Wind,Renewables,Hydropower
Bangladesh,2002,154 TWh,106.71 TWh,4.25 TWh,42.88 TWh,0 TWh,0 TWh,2 TWh,2 TWh
Belarus,2002,256 TWh,155.43 TWh,7.84 TWh,93.18 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Belgium,2002,597 TWh,158.33 TWh,72.42 TWh,366.56 TWh,0 TWh,0 TWh,4 TWh,1 TWh
Brazil,2002,"1,367 TWh",145.16 TWh,144.01 TWh,"1,077.90 TWh",0 TWh,0 TWh,944 TWh,835 TWh
Bulgaria,2002,155 TWh,25.39 TWh,76.83 TWh,52.80 TWh,0 TWh,0 TWh,6 TWh,6 TWh
Canada,2002,"2,429 TWh",874.67 TWh,371.27 TWh,"1,183.05 TWh",0 TWh,1 TWh,"1,054 TWh","1,019 TWh"
Chile,2002,247 TWh,80.18 TWh,29.55 TWh,137.69 TWh,0 TWh,0 TWh,73 TWh,68 TWh
China,2002,"12,657 TWh",294.14 TWh,"9,467.46 TWh","2,895.60 TWh",0 TWh,2 TWh,853 TWh,841 TWh
Colombia,2002,216 TWh,59.99 TWh,25.46 TWh,130.76 TWh,0 TWh,0 TWh,101 TWh,99 TWh
Croatia,2002,85 TWh,27.57 TWh,6.79 TWh,50.18 TWh,0 TWh,0 TWh,17 TWh,17 TWh
Cyprus,2002,,,0.51 TWh,29.67 TWh,0 TWh,0 TWh,,
Czechia,2002,425 TWh,90.27 TWh,237.63 TWh,96.75 TWh,0 TWh,0 TWh,10 TWh,7 TWh
Denmark,2002,216 TWh,53.82 TWh,48.87 TWh,113.73 TWh,0 TWh,14 TWh,20 TWh,0 TWh
Ecuador,2002,82 TWh,1.32 TWh,0.02 TWh,80.80 TWh,0 TWh,0 TWh,22 TWh,22 TWh
Egypt,2002,569 TWh,255.06 TWh,9.54 TWh,304.17 TWh,0 TWh,1 TWh,41 TWh,41 TWh
